id,name,latitude,longitude,locality_verbose,cuisines,average_cost_for_two,price_range,aggregate_rating,votes,all_reviews_count,photo_count,establishment,establishment_types
19074290,Metro Eat Out,13.0501204270,80.2123185620,Vadapalani/ Chennai,Beverages/ Fast Food,150,1,0,2,0,1,Beverage Shop,
19242216,Udipi Ganesh Bhavan,13.0499189043,80.2132630348,Vadapalani/ Chennai,South Indian,150,1,0,1,0,0,Quick Bites,
18647947,Asima Briyani Multicuisine Restaurant,13.0500093772,80.2117931843,Vadapalani/ Chennai,Biryani/ Chinese/ North Indian/ Chettinad,700,2,3.7,138,64,79,Casual Dining,
19318920,Ambur Ajib Briyani,13.0489818378,80.2119340003,Vadapalani/ Chennai,Biryani/ Chinese,200,1,3.2,9,6,0,Quick Bites,
67274,Ambur Star Biryani,13.0499783486,80.2135460079,Vadapalani/ Chennai,Biryani/ North Indian/ Chinese/ Chettinad/ Arabian,700,2,3.8,272,85,24,Quick Bites,
18670128,Firangi Bake,13.0495625647,80.2114109695,Vadapalani/ Chennai,Italian/ Mexican,400,1,3.8,79,51,34,,
18886953,The Good Bowl,13.0495553791,80.2114009112,Vadapalani/ Chennai,North Indian/ Biryani/ Italian,500,2,4.0,51,27,43,,
18670133,Sweet Truth,13.0495354554,80.2113911882,Vadapalani/ Chennai,Bakery,300,1,3.8,28,16,53,,
18670048,Behrouz Biryani - Royal & Safe,13.0494926685,80.2113871649,Vadapalani/ Chennai,Biryani/ North Indian/ Mughlai,700,2,3.9,180,119,84,,
18670125,Ovenstory Pizza,13.0494671923,80.2113851532,Vadapalani/ Chennai,Italian/ Pizza,400,1,4.0,89,55,76,,
18670047,Faasos,13.0493306660,80.2114096284,Vadapalani/ Chennai,Fast Food/ North Indian/ Biryani/ Rolls,450,1,4.3,189,117,69,,
19268414,The Biryani Life,13.0496373601,80.2113264799,Vadapalani/ Chennai,Biryani/ North Indian,350,1,0,0,0,23,,
19261121,Shri Padmavati Mess,13.0509960854,80.2126286924,Vadapalani/ Chennai,South Indian,200,1,0,0,0,3,Quick Bites,
72331,Berry 'n' Blossom,13.0495847747,80.2112165093,Vadapalani/ Chennai,Bakery/ Fast Food/ Beverages,500,2,3.8,36,22,169,Bakery,
65248,Hotel Saravana Bhavan,13.0503770000,80.2137880000,Vadapalani/ Chennai,North Indian/ South Indian/ Desserts/ Beverages/ Mithai,550,2,4.0,566,256,175,Casual Dining,
18452780,Tibb's Frankie,13.0508461687,80.2116835490,Vadapalani/ Chennai,Rolls,200,1,3.5,28,4,6,,
18518453,Madras Coffee House,13.0508631528,80.2116540447,Vadapalani/ Chennai,Tea/ Street Food/ Desserts,200,1,3.4,13,6,35,Quick Bites,
19282649,Mr And Mrs Fast Food,13.0511600465,80.2127034590,Vadapalani/ Chennai,Chinese,300,1,0,0,0,0,Quick Bites,
19344369,Aaha Cafe,13.0488430000,80.2137990000,Vadapalani/ Chennai,Fast Food/ Sandwich/ Beverages,200,1,3.3,9,7,2,Quick Bites,
19314158,Nikhila Andhra Mess,13.0492499914,80.2109865099,Vadapalani/ Chennai,Andhra,250,1,0,1,0,0,Mess,
66148,Mithai Mandir,13.0510810055,80.2135235444,Vadapalani/ Chennai,Gujarati/ Street Food/ North Indian/ Mithai,300,1,4.2,437,230,229,Quick Bites,
19253666,Uncle John's Sandwich,13.0492388864,80.2142098546,Vadapalani/ Chennai,Fast Food,150,1,0,3,3,1,,
18681785,The Sandwich Shop,13.0511776837,80.2134045213,Vadapalani/ Chennai,Sandwich/ Fast Food/ Beverages,300,1,3.2,32,13,5,Quick Bites,
19191151,King Of King Biryani Center,13.0512518254,80.2134048566,Vadapalani/ Chennai,Biryani/ Chinese,300,1,3.1,4,2,0,Quick Bites,
18799127,Hotel Aaradhana,13.0512701159,80.2135718241,Vadapalani/ Chennai,South Indian,200,1,0,2,2,0,Quick Bites,
68750,Diet In,13.0488658882,80.2108634636,Vadapalani/ Chennai,South Indian,200,1,3.6,22,12,29,Quick Bites,
19023077,Idliman,13.0484814579,80.2108755335,Vadapalani/ Chennai,South Indian,200,1,0,3,1,0,Quick Bites,
19327557,Sajura Cafe,13.0498068746,80.2146742120,Vadapalani/ Chennai,Beverages/ Juices/ Street Food/ Sandwich,100,1,0,0,0,3,Beverage Shop,
18796772,Thambu's Kitchen,13.0498993072,80.2147161216,Vadapalani/ Chennai,South Indian,200,1,0,0,0,0,Quick Bites,
18674438,Hotel Vivasayi,13.0496628363,80.2147389203,Vadapalani/ Chennai,South Indian/ Chinese,250,1,3.3,17,3,1,Quick Bites,
72885,SKB,13.0494511880,80.2103535086,Vadapalani/ Chennai,South Indian,500,2,3.4,15,8,18,Quick Bites,
19001381,Hotel Guru,13.0491180376,80.2147570252,Vadapalani/ Chennai,North Indian/ South Indian,150,1,0,2,1,0,Quick Bites,
71042,Taste Of Malabar,13.0482636028,80.2107129246,Vadapalani/ Chennai,Kerala/ Biryani,650,2,3.6,113,73,71,Casual Dining,
65417,Hotel Pandia's,13.0497601683,80.2101017162,Vadapalani/ Chennai,North Indian/ Chinese/ Biryani/ South Indian/ Seafood,750,2,3.8,431,244,131,Casual Dining,
66545,Hotel Bhimaas,13.0521999882,80.2126521617,Hotel Bhimaas/ Vadapalani/ Chennai,North Indian/ Chinese/ Andhra,550,2,2.5,72,42,20,Casual Dining,
18641505,The Brown Bean,13.0507475307,80.2150004357,Vadapalani/ Chennai,Fast Food/ Beverages,500,2,3.9,74,48,65,Quick Bites,
18898202,18+ Restaurant and Bar,13.0523841985,80.2121908218,Vadapalani/ Chennai,North Indian/ Chinese/ Andhra,700,2,3.5,39,25,29,Casual Dining,
19205129,Tandoori Chai,13.0525181102,80.2121267840,Vadapalani/ Chennai,Tea,100,1,3.2,5,3,0,Beverage Shop,
68682,Domino's Pizza,13.0502497673,80.2096916735,Forum Vijaya Mall/ Vadapalani/ Chennai,Pizza/ Fast Food,400,1,3.7,291,154,84,Quick Bites,
67160,Barbeque Nation,13.0525563240,80.2124349028,Hotel Bhimaas/ Vadapalani/ Chennai,North Indian/ Continental/ Kebab/ BBQ,1600,3,4.2,1619,716,821,Casual Dining,
72433,Leo Coffee,13.0506959253,80.2153343707,Kodambakkam/ Chennai,Coffee/ Tea/ Beverages,250,1,0,1,1,5,Beverage Shop,
18798487,Juice It Up,13.0474352947,80.2143704519,Kodambakkam/ Chennai,Beverages/ Sandwich/ Fast Food,250,1,3.3,78,25,5,Beverage Shop,
18568746,McDonald's,13.0503484055,80.2096118778,Vadapalani/ Chennai,Burger/ Fast Food,500,2,3.8,164,42,47,Quick Bites,
73102,McCafe by McDonald's,13.0502164524,80.2095766738,Forum Vijaya Mall/ Vadapalani/ Chennai,Coffee/ Cafe/ Beverages/ Desserts/ Tea,500,2,3.7,40,14,27,,
72421,Leo Coffee,13.0509039797,80.2153434232,Vadapalani/ Chennai,Coffee/ Tea/ Beverages,250,1,0,2,1,12,Beverage Shop,
18892305,Dosa & Co,13.0510872112,80.2098512650,Forum Vijaya Mall/ Vadapalani/ Chennai,South Indian,350,1,3.0,7,0,2,Food Court,
18429814,La Piazza,13.0507527565,80.2096581459,Forum Vijaya Mall/ Vadapalani/ Chennai,Chinese/ North Indian/ South Indian/ Continental,600,2,4.0,135,80,159,Casual Dining,
68701,ID,13.0501782382,80.2094670385,Forum Vijaya Mall/ Vadapalani/ Chennai,South Indian,300,1,4.1,438,132,134,Quick Bites,
19342291,Madurai Famous Jigarthanda,13.0527029037,80.2119369507,Vadapalani/ Chennai,Beverages/ Ice Cream,100,1,0,2,1,1,Beverage Shop,
19144191,Sandwich Express Shop,13.0521774518,80.2106854320,Vadapalani/ Chennai,Fast Food,200,1,0,3,0,0,Quick Bites,
68622,Kalmane Koffees,13.0508445357,80.2096309885,Forum Vijaya Mall/ Vadapalani/ Chennai,Cafe/ Fast Food,500,2,2.7,39,22,34,Café,
68671,Cafe Coffee Day,13.0508265718,80.2095464990,Forum Vijaya Mall/ Vadapalani/ Chennai,Cafe/ Fast Food/ Desserts/ Beverages/ Sandwich,600,2,2.4,64,38,103,Café,
18618257,Teasers,13.0509725691,80.2095763385,Forum Vijaya Mall/ Vadapalani/ Chennai,Bubble Tea/ Desserts,300,1,3.6,53,33,32,Beverage Shop,
18881885,House of Candy,13.0509523189,80.2095615864,Forum Vijaya Mall/ Vadapalani/ Chennai,Desserts,800,2,0,1,1,0,Dessert Parlour,
